"package_name","package_version","package_description","dependencies"
"taxipilot","0.9.2","Game where you pilot a taxi in space, the objective is to pick up passengers waiting on a number of platforms and to drop them where they want to go. That's basically it. Fedora Project","arts, glibc, hicolor-icon-theme, kdelibs3, libgcc, libstdc++, qt3"
"tcltls","1.7.22","A TLS OpenSSL extension for Tcl Fedora Project","glibc, openssl-libs, tcl"
"texlive-facture-doc","svn43865","Documentation for facture Fedora Project",""
"texlive-frimurer","svn56704","This package provides access to the 'frimurer' cipher for use with LaTeX. Fedora Project","texlive-base, texlive-kpathsea"
"texlive-harveyballs","svn32003.1.1","The package provides 5 commands (giving symbols that indicate values from ""none"" to ""full""). Fedora Project","texlive-base, texlive-kpathsea, texlive-pgf"
"texlive-latex-make-doc","svn60874","Documentation for latex-make Fedora Project",""
"texlive-poetrytex-doc","svn39921","Documentation for poetrytex Fedora Project",""
"texlive-postage","svn55920","The postage package is used for franking letters with >>Deutsche Post<<'s online postage service >>Internetmarke<<. Note that in order to print valid stamps you must point to a valid PDF of >>Deutsche Post<<'s >>Ausdruck 4-spaltig (DIN A4)<<. Fedora Project","texlive-base, texlive-kpathsea"
"texlive-scrlttr2copy-doc","svn56733","Documentation for scrlttr2copy Fedora Project",""
"texlive-spath3","svn64818","The spath3 library provides methods for manipulating the ""soft paths"" of TikZ/PGF. Packaged with it are two TikZ libraries that make use of the methods provided. These are libraries for drawing calligraphic paths and for drawing knot diagrams. Fedora Project","texlive-base, texlive-kpathsea, texlive-l3kernel, texlive-l3packages, texlive-pgf"
"texlive-termes-otf","svn64733","This package provides the OpenType version of the TeX Gyre Termes font, including text and math fonts. The package needs LuaLaTeX or XeLaTeX. The missing typefaces like bold math and slanted text are also defined. Fedora Project","texlive-base, texlive-kpathsea"
"texlive-tikzscale-doc","svn30637.0.2.6","Documentation for tikzscale Fedora Project",""
"texlive-unitsdef-doc","svn15878.0.2","Documentation for unitsdef Fedora Project",""
"texlive-unravel-doc","svn59175","Documentation for unravel Fedora Project",""
"texlive-varindex","svn32262.2.3","Provides a convenient front-end for the \index command. For example, with it you can generate multiple index entries in almost any form by a single command. The package is highly customizable, and works with all versions of LaTeX and probably most other TeX formats. Fedora Project","texlive-base, texlive-kpathsea, texlive-toolbox"
"texlive-xint-doc","svn63562","Documentation for xint Fedora Project",""
"tigervnc-server","1.14.1","The VNC system allows you to access the same desktop from a wide variety of platforms.  This package includes set of utilities which make usage of TigerVNC server more user friendly. It also contains x0vncserver program which can export your active X session. Fedora Project","bash, glibc, gmp, gnutls, libX11, libXdamage, libXext, libXfixes, libXrandr, libXtst, libgcc, libjpeg-turbo, libselinux, libstdc++, nettle, pam-libs, perl-interpreter, pixman, systemd, tigervnc-selinux, tigervnc-server-minimal, xorg-x11-xauth, xorg-x11-xinit, zlib-ng-compat"
"tin","2.6.4","Tin is a basic, easy to use Internet news reader.  Tin can read news locally or remotely via an NNTP (Network News Transport Protocol) server.  Install tin if you need a basic news reader. Fedora Project","bash, glibc, libcanlock, libgsasl, libicu, ncurses-libs, openssl-libs, pcre2, perl-Getopt-Long, perl-IO, perl-Pod-Usage, perl-Sys-Hostname, perl-Term-ReadLine, perl-Time-Local, perl-interpreter, perl-libnet, perl-libs, zlib-ng-compat"
"tlmi-auth","1.0.1","Utility function for certificate based authentication on Lenovo platforms. Fedora Project","glibc, openssl-libs"
"tlock","1.6","tlock is a small program intended to lock the terminal until the correct password is supplied by the user. By default 'tlock' locks the terminal with the user's login password. Fedora Project","glibc, libxcrypt, ncurses-libs, pam-libs"
"tofrodos","1.7.13","Tofrodos is a text file conversion utility that converts ASCII and Unicode UTF-8 files between the MSDOS (or Windows) format, which traditionally have CR/LF (carriage return/line feed) pairs as their new line delimiters, and the Unix format, which usually have LFs (line feeds) to terminate each line.  It is a useful utility to have around when you have to convert files between MSDOS (or Windows) and Unix/Linux/BSD (and her clones and variants). It comes standard with a number of systems and is often found on the system as ""todos"", ""fromdos"", ""dos2unix"" and ""unix2dos"". Fedora Project","glibc"
"tor","0.4.8.13","The Tor network is a group of volunteer-operated servers that allows people to improve their privacy and security on the Internet. Tor's users employ this network by connecting through a series of virtual tunnels rather than making a direct connection, thus allowing both organizations and individuals to share information over public networks without compromising their privacy. Along the same line, Tor is an effective censorship circumvention tool, allowing its users to reach otherwise blocked destinations or content. Tor can also be used as a building block for software developers to create new communication tools with built-in privacy features.  This package contains the Tor software that can act as either a server on the Tor network, or as a client to connect to the Tor network. Fedora Project","bash, glibc, libcap, libevent, libgcc, libseccomp, libzstd, openssl-libs, shadow-utils, systemd-libs, torsocks, xz-libs, zlib-ng-compat"
"tpm2-pkcs11-tools","1.9.1","The tools required to setup and configure TPM2 for PKCS#11. Fedora Project","bash, python3, python3-cryptography, python3-pyasn1-modules, python3-pyyaml, python3-tpm2-pytss"
"trivy","0.55.2","Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more. Fedora Project","glibc, sqlite-libs"
"trojita","0.7.0.1","Trojitá is a IMAP e-mail client which: * Enables you to access your mail anytime, anywhere. * Does not slow you down. If we can improve the productivity of an e-mail user, we better do. * Respects open standards and facilitates modern technologies. We value the vendor-neutrality that IMAP provides and are committed to be as inter-operable as possible. * Is efficient — be it at conserving the network bandwidth, keeping memory use at a reasonable level or not hogging the system's CPU. * Can be used on many platforms. One UI is not enough for everyone, but our IMAP core works fine on anything from desktop computers to cell phones and big ERP systems. * Plays well with the rest of the ecosystem. We don't like reinventing wheels, but when the existing wheels quite don't fit the tracks, we're not afraid of making them work.  This application is heavily based on Qt and uses WebKit. Fedora Project","glibc, gpgmepp, hicolor-icon-theme, kf5-sonnet-ui, libgcc, libstdc++, mimetic, qgpgme-qt5, qt5-qtbase, qt5-qtbase-gui, qt5-qtsvg, qt5-qtwebkit, qtkeychain-qt5, zlib-ng-compat"
"tuxpaint-devel","0.9.34","Development files for tuxpaint extensions/plugins Fedora Project","tuxpaint"
"uberftp","2.9.1","UberFTP is the first interactive, GridFTP-enabled ftp client. It supports GSI authentication, parallel data channels and third party transfers. Fedora Project","glibc, globus-common, globus-gssapi-gsi"
"uthash-tools","2.3.0","This package provides the hashscan and keystats utility programs for uthash.  The hashscan program examines a running process and reports on the uthash tables that it finds in that program’s memory.  It can also save the keys from each table in a format that can be fed into keystats.  The keystats program is able to analyze which hash function has the best characteristics on the set of keys reported by the hashscan program. Fedora Project","glibc, perl-interpreter, uthash-devel"
"uwsgi","2.0.28","uWSGI is a fast (pure C), self-healing, developer/sysadmin-friendly application container server.  Born as a WSGI-only server, over time it has evolved in a complete stack for networked/clustered web applications, implementing message/object passing, caching, RPC and process management. It uses the uwsgi (all lowercase, already included by default in the Nginx and Cherokee releases) protocol for all the networking/interprocess communications.  Can be run in preforking mode, threaded, asynchronous/evented and supports various form of green threads/co-routine (like uGreen and Fiber).  Sysadmin will love it as it can be configured via command line, environment variables, xml, .ini and yaml files and via LDAP. Being fully modular can use tons of different technology on top of the same core. Fedora Project","bash, glibc, jansson, libcap, libuuid, libxml2, libyaml, openssl-libs, pcre2, shadow-utils, systemd, zlib-ng-compat"
"vaultwarden-web","2024.6.2b","Web vault for vaultwarden. Fedora Project",""
"vim-syntastic-cucumber","3.10.0","Allows checking cucumber sources files. Fedora Project","rubygem-cucumber, vim-syntastic"
"vlc-plugin-gnome","3.0.21","Gnome Keyring integration for VLC media player Fedora Project","glib2, glibc, libsecret, vlc-libs, vlc-plugins-base"
"wmdocker","1.5","Docker is a docking application (WindowMaker dock app) which acts as a system tray for KDE and GNOME2. It can be used to replace the panel in either environment, allowing you to have a system tray without running the KDE/GNOME panel or environment. Fedora Project","glib2, glibc, libX11"
"wpa_supplicant","2.11","wpa_supplicant is a WPA Supplicant for Linux, BSD and Windows with support for WPA and WPA2 (IEEE 802.11i / RSN). Supplicant is the IEEE 802.1X/WPA component that is used in the client stations. It implements key negotiation with a WPA Authenticator and it controls the roaming and IEEE 802.11 authentication/association of the wlan driver. Fedora Project","bash, dbus-libs, glibc, libnl3, openssl-libs, systemd"
"xchm","1.37","xCHM is a wxWidgets-based .chm viewer. xCHM can show the contents tree if one is available, print the displayed page, change fonts faces and size, work with bookmarks, do the usual history stunts (forward, back, home), provide a searchable index and seach for text in the whole book. The search is a fast B-tree search, based on the internal $FIftiMain file found inside indexed .chm archives, and it can be customized to search in content or just the topics' titles. Fedora Project","chmlib, glibc, libgcc, libstdc++, wxBase, wxGTK"
"xmlsec1-openssl","1.2.39","OpenSSL plugin for XML Security Library provides OpenSSL based crypto services for the xmlsec library. Fedora Project","glibc, libtool-ltdl, libxml2, libxslt, openssl-libs, xmlsec1"
"xorg-x11-drv-nvidia-libs","565.77","This package provides the shared libraries for xorg-x11-drv-nvidia. RPM Fusion","egl-gbm, egl-wayland, egl-x11, glibc, libX11, libXext, libglvnd-egl, libglvnd-gles, libglvnd-glx, libglvnd-opengl, libvdpau, mesa-libEGL, mesa-libGL, vulkan-loader"
"yawn-server","0","Script to run yawn without Apache web server. Fedora Project","python3, yawn"
"zipper-devel","1.0.3","This package provides header files, shared and static library files of zipper. Fedora Project","pkgconf-pkg-config, zipper"
"znc","1.9.1","ZNC is an IRC bouncer with many advanced features like detaching, multiple users, per channel playback buffer, SSL, IPv6, transparent DCC bouncing, Perl and C++ module support to name a few. Fedora Project","bash, cyrus-sasl-lib, glibc, libgcc, libicu, libstdc++, openssl-libs, shadow-utils, systemd, zlib-ng-compat"
"zxcvbn-c","2.5","This is a C/C++ implementation of the zxcvbn password strength estimation. The code is intended to be included as part of the source of a C/C++ program. Fedora Project","glibc, libgcc, libstdc++"
"zxcvbn-c-devel","2.5","The zxcvbn-c-devel package contains libraries and header files for developing applications that use zxcvbn-c Fedora Project","zxcvbn-c"
